id,name,name_tr,name_ru,name_en,name_ky,name_kz,created_at
1000094,ブランド,,,,,,2023-09-05 19:04:37.635339+00
1001285,シリーズ,,,,,,2023-09-05 19:04:37.635368+00
1000984,生産国,,,,,,2023-09-05 19:04:37.635376+00
1000111,カラー,,,,,,2023-09-05 19:04:37.635383+00
1000153,号数（女性）,,,,,,2023-09-05 19:04:37.635391+00
1000702,各国代表特集（サッカー）,,,,,,2023-09-05 19:04:37.635398+00
1000703,特集（日本の野球チーム）,,,,,,2023-09-05 19:04:37.635404+00
1000704,スポーツリーグ,,,,,,2023-09-05 19:04:37.635414+00
1001150,シーズン,,,,,,2023-09-05 19:04:37.635423+00
1001015,自然派志向,,,,,,2023-09-05 19:04:37.63543+00
1001280,不使用添加物,,,,,,2023-09-05 19:04:37.635436+00
1001281,オーガニック認証機関・基準,,,,,,2023-09-05 19:04:37.635442+00
1001367,スーパー戦隊特集,,,,,,2023-09-05 19:04:37.635448+00
1001368,プリキュア特集,,,,,,2023-09-05 19:04:37.635454+00
1001369,ウルトラマン特集,,,,,,2023-09-05 19:04:37.635461+00
1001370,仮面ライダー特集,,,,,,2023-09-05 19:04:37.635467+00
1001373,ガンダム特集,,,,,,2023-09-05 19:04:37.635472+00
1001372,スタジオジブリ特集,,,,,,2023-09-05 19:04:37.635479+00
1001389,MLB特集,,,,,,2023-09-05 19:04:37.635485+00
1001390,欧州リーグ特集,,,,,,2023-09-05 19:04:37.635491+00
1001391,NBA特集,,,,,,2023-09-05 19:04:37.635498+00
1001392,Jリーグ特集,,,,,,2023-09-05 19:04:37.635504+00
1001637,ディズニー特集,,,,,,2023-09-05 19:04:37.635511+00
1001638,アメコミ特集,,,,,,2023-09-05 19:04:37.635516+00
1000121,関連作品,,,,,,2023-09-05 19:04:37.635522+00
1001688,ガールズ×ヒロイン特集,,,,,,2023-09-05 19:04:37.635528+00
1001704,ハンドメイド・手作り,,,,,,2023-09-05 19:04:37.635533+00
